ID,Určovatel,Pouzdro,Množství,Určení
1,"C1,C5,C6,C7,C10,C11,C12,C13,C14",SMD-0805,9,100n
2,"C2,C3,C4",Elko_vert_11.2x6.3mm_RM2.5,3,10u/50v
3,"C8,C9",SMD-0805,2,150p
4,IC1,SO-20-L,1,74F245
5,IC2,SOT-23-5,1,74VHC1G132DTT1G
6,L1,R3-LARGE_PADS,1,1u
7,Q1,OldSowjetaera_Transistor_Type-II_BigPads,1,KF630D
8,"R1,R2,R3,R4",R_1206,4,10k
9,R5,R_1206,1,3k9
10,"R6,R7,R13",R_1206,3,50R (2*100R)
11,R8,R_1206,1,560R
12,R9,R_1206,1,1k
13,R10,R_1206,1,4R7
14,R11,R_1206,1,12R
15,R12,R_1206,1,3k3
16,TR1,Transformer_Toroid_horizontal_Diameter12-5mm_Amidon-T44,1,TRF11
17,U1,SOT-223,1,LD1117S33CTR
18,P3,sma_90_r300.124.403,1,DDS_OUT
19,P1,vasch_strip_5x2_90,1,MLW10
20,P2,vasch_strip_3x2_90,1,MLW6
21,"REF**,REF**,REF**,REF**",M3,4,M3
22,IC3,SSOP-28_5.3x10.2mm_Pitch0.65mm,1,AD9850BRS
23,XTAL1,SMD7x5,1,CFPS
